,Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total_Sales
0,3W,"""VOLVO GROUP INDIA PVT LTD""",0,0,31,12,0,0,0,0,0,0,43
1,3W,3EV INDUSTRIES PVT LTD,0,0,0,0,0,0,112,390,545,51,1098
2,2W,3GB TECHNOLOGY PVT LTD,0,0,0,1,0,0,0,0,0,0,1
3,3W,3GB TECHNOLOGY PVT LTD,0,1,1,0,0,0,0,0,0,0,2
4,3W,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,48,66,43,68,266,578,1069
5,4W,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,3,1,0,0,0,0,4
6,3W,A B EXCAVATORS & EARTHMOVER LTD,0,1,0,0,0,0,0,0,0,0,1
7,3W,A D AGRO WORKS,0,0,2,1,0,0,0,0,0,0,3
8,3W,A K AUTTO ELECTRICAL,0,1,72,56,42,1,5,3,2,0,182
9,3W,A K GUPTA & CO.,0,0,100,625,438,195,256,433,563,355,2965
10,3W,A P I MOTORS PVT LTD,0,0,0,2,28,14,20,93,279,146,582
11,4W,A R T WELDING WORKS,0,1,0,2,0,0,0,0,0,0,3
12,3W,A. K. AUTTO ELECTRICAL,0,0,0,0,0,1,0,0,0,0,1
13,3W,A.J ENTERPRISES,0,0,0,0,0,0,0,0,0,66,66
14,3W,A.K.AUTO ELECTRICAL,0,2,8,0,0,0,0,0,0,0,10
15,3W,A.R. MOTOR,0,0,0,0,0,0,0,0,0,164,164
16,3W,A.V.AUTOMOTIVES PVT LTD,0,0,33,280,452,256,677,1451,1309,674,5132
17,2W,A-1 SUREJA INDUSTRIES,0,0,0,0,0,0,0,0,0,2,2
18,3W,A3T INCORPORTED,0,8,94,85,41,3,17,8,0,0,256
19,4W,A3T INCORPORTED,0,0,2,75,0,0,0,0,0,0,77
20,3W,AADHYA ENTERPRISES,0,3,0,4,6,4,6,516,797,312,1648
21,4W,AADHYA ENTERPRISES,0,0,0,0,0,1,0,0,0,0,1
22,3W,AADITYA EMOTORS INDIA PVT LTD,0,1,471,179,10,0,0,0,0,0,661
23,4W,AADITYA EMOTORS INDIA PVT LTD,0,0,2,6,0,0,0,0,0,0,8
24,3W,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,13,0,0,10,34,4,61
25,4W,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,1,0,0,0,0,0,1
26,3W,AAHANA COMMERCE PVT LTD,0,0,0,0,0,61,202,309,918,1194,2684
27,3W,AAKK AUTO PVT LTD,0,0,0,0,0,0,0,0,0,16,16
28,3W,AARGEE ELECTRIC,0,0,1,0,0,0,10,13,18,4,46
29,3W,AASHI INDIA AUTOMOBILES PVT LTD,0,0,0,0,1,0,0,0,0,0,1
30,3W,ABHAVIS TECHNOLOGY (I) PVT LTD,0,0,1,0,0,0,0,0,0,0,1
31,4W,ABIRAMI ENGINEERING WORKS,0,0,1,0,0,0,0,0,0,0,1
32,2W,ABZO MOTORS PVT LTD,0,0,0,0,0,0,0,0,12,48,60
33,3W,ACCRETION POWER AUTOS,0,1,21,240,315,111,207,608,598,329,2430
34,2W,ACTION CONSTRUCTION EQUIPMENT LTD.,0,1,0,0,0,0,0,0,0,0,1
35,3W,ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,4,0,0,0,0,0,0,0,4
36,4W,ACTION CONSTRUCTION EQUIPMENT LTD.,6,1,0,0,0,0,0,0,0,0,7
37,3W,ADAPT MOTORS PVT LTD,0,0,0,0,6,2,1,3,4,1,17
38,4W,ADAPT MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,1,1
39,3W,ADIDEV TECHNOA PVT LTD,0,0,0,0,8,14,34,168,689,927,1840
40,3W,ADITYA AGRO INDUSTRIES,0,2,17,3,0,0,1,0,0,0,23
41,3W,ADITYA ENTERPRISES,0,0,0,0,1,0,5,3,1,0,10
42,3W,ADITYA SAI INDUSTRIES,0,39,187,176,296,75,53,129,179,152,1286
43,4W,ADITYA SAI INDUSTRIES,0,0,2,2,0,0,0,0,0,0,4
44,3W,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,0,0,0,0,129,151,280
45,2W,ADRIS ELECTRIC PVT LTD,0,0,0,0,0,0,65,226,61,8,360
46,2W,AFTEK MOTORS INDIA PVT LTD,0,0,0,0,0,1,8,186,138,34,367
47,3W,AGRASEN ENGINEERING WORKS,0,1,0,0,0,0,0,0,0,0,1
48,3W,AGRAWAL RENEWABLE ENERGY PVT LTD,0,0,0,0,2,2,1,1,0,2,8
49,3W,AGRO INDUSTRIES,0,0,1,0,0,0,0,0,0,0,1
50,4W,AHITESHAM AGRO ENGINEERING,0,0,2,0,0,0,0,0,0,0,2
51,2W,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,0,0,0,0,1,0,0,0,1
52,3W,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,33,190,109,332
53,3W,AKASH AGRO INDUSTRIES,0,0,0,0,1,0,0,0,0,0,1
54,4W,AKASH TRAILOR,0,0,0,1,0,0,0,0,0,0,1
55,3W,AKG INTERNATIONAL,0,0,0,0,0,0,0,0,138,1048,1186
56,3W,AKSMD RECHARGEABLE VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0,1
57,3W,ALBEDO VISION PVT LTD,0,0,0,15,6,15,0,14,39,4,93
58,MMV,ALL TERRAIN CRANE,0,0,0,0,0,0,0,0,5,20,25
59,3W,ALLENTTI MOTORS PVT LTD,0,0,0,0,0,0,0,0,59,131,190
60,3W,ALLFINE INDUSTRIES PVT LTD,0,2,239,763,1737,1180,2370,5884,10743,6317,29235
61,4W,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,8,0,8
62,3W,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,177,308,381,1626,2517,1804,6813
63,4W,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,1
64,3W,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,0,3,144,699,2512,939,4297
65,4W,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,0,0,2,0,7,6,15
66,2W,ALTIUS EV TECH PVT LTD,0,0,0,0,0,0,0,67,37,14,118
67,3W,ALTIUS TECHNOLOGIES,0,32,7,0,79,30,29,9,13,7,206
68,3W,AL-ZAHOOR  CO,0,6,0,0,0,0,0,0,0,0,6
69,3W,AMAN AUTOMOBILES,0,0,69,41,53,22,64,30,14,55,348
70,3W,AMAN ELECTRIC VEHICLES,0,80,114,69,20,15,63,39,162,327,889
71,3W,AMAR COACH BUILDERS,0,0,1,0,0,0,0,0,0,0,1
72,3W,AMBIKA ENTERPRISES,0,0,0,0,0,25,113,92,145,55,430
73,3W,AMBIKA INDUSTRIES,0,0,0,0,427,656,981,1159,1910,1060,6193
74,4W,AMMAN ENGINEERING COMPANY,1,0,0,1,0,0,0,0,0,0,2
75,2W,AMO MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,1497,1574,80,3151
76,2W,AMPERE VEHICLES PRIVATE LIMITED,0,0,0,0,1196,4522,12470,79857,42903,857,141805
77,2W,AMPERE VEHICLES PVT LTD,31,0,0,0,6,153,315,2390,8,0,2903
78,3W,AMPERE VEHICLES PVT LTD,0,0,44,0,0,0,0,0,0,0,44
79,3W,AMW MOTORS LIMITED,0,0,1,0,0,0,0,0,0,0,1
80,4W,ANBU TRAILERS,1,3,0,1,0,0,0,0,0,0,5
81,2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,0,0,0,0,0,0,0,6,51,22,79
82,2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),0,0,0,0,0,0,0,0,8,3,11
83,2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),0,0,0,0,0,0,0,0,61,39,100
84,2W,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),0,0,0,0,0,0,0,0,1,0,1
85,2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,0,0,0,0,0,0,0,13,8,21
86,3W,ANJALI AUTO COMPONENTS,0,0,0,0,0,23,11,21,61,22,138
87,3W,ANJALI ENTERPRISES,0,0,2,3,0,0,0,0,0,0,5
88,3W,ANJALI TRADERS,0,0,0,75,118,122,79,75,74,53,596
89,4W,ANJALI TRADERS,0,0,0,1,0,0,0,0,0,0,1
90,3W,ANKUSH AUTO DEALS,0,15,72,505,287,51,111,2,5,0,1048
91,3W,ANOOP CYLINDERS PVT LTD,0,0,0,0,0,0,0,0,0,8,8
92,4W,ANTONY TRAILORS,1,8,2,0,0,0,0,0,0,0,11
93,3W,APARNA AGRICO,0,0,25,5,0,0,0,0,0,0,30
94,3W,APARNA INDUSTRIES,0,10,93,182,190,83,96,86,87,30,857
95,3W,API MOTORS PVT LTD,0,0,5,0,0,0,0,0,0,0,5
96,3W,APM AUTO SALES,0,0,0,78,267,119,221,399,778,395,2257
97,3W,APSARA ENTERPRISE,0,0,0,153,276,191,418,379,725,685,2827
98,4W,ARASAN AND CO.,0,1,1,0,0,0,0,0,0,0,2
99,4W,ARBUDA TRAILER,1,0,0,0,0,0,0,0,0,0,1
100,3W,ARCHIT ENTERPRISES,0,0,131,153,251,110,203,564,1077,777,3266
101,3W,ARD EXIM,0,0,0,0,0,14,24,41,61,29,169
102,4W,ARD EXIM,0,0,0,0,0,0,0,1,0,0,1
103,3W,ARIHANT ENTERPRISE,0,0,1,0,0,0,0,0,0,0,1
104,3W,ARIHANT ENTERPRISES,0,0,0,12,8,0,0,0,0,0,20
105,3W,ARMAN GREEN VEHICLES PVT LTD,0,5,195,214,99,41,31,14,0,0,599
106,3W,ARNA ELECTRIC AUTO PVT LTD,0,0,29,331,308,185,373,344,590,76,2236
107,3W,ARROW AUTOMOTIVE,0,0,1,64,393,825,1276,2782,3958,1925,11224
108,4W,ARROW AUTOMOTIVE,0,0,0,0,0,0,1,3,0,0,4
109,3W,ASAV AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,1,1
110,3W,ASHA IMPEX,0,0,5,21,2,7,35,61,86,126,343
111,3W,ASHLESHA POWER CONTROLS PVT LTD,0,0,0,0,0,0,0,0,6,2,8
112,3W,ASHMA-MOTORS PVT LTD,0,0,0,0,0,0,0,0,294,828,1122
113,3W,ASHOK LEYLAND LTD,0,0,1,0,0,0,0,0,0,0,1
114,4W,ASHOK LEYLAND LTD,0,1,0,0,0,0,0,0,0,0,1
115,3W,ASHWA ELECTRIC,0,0,2,16,1,4,4,1,0,1,29
116,3W,ASIA BODY BUILDERS & MANUFACTURERS,0,0,0,5,0,0,0,0,0,0,5
117,3W,ASTER AUTOMOTIVE PVT LTD,0,0,0,7,0,0,0,2,0,0,9
118,2W,ATHER ENERGY PVT LTD,0,0,0,24,2291,3052,15930,51808,104735,58547,236387
119,3W,ATLAS COPCO INDIA LTD,0,0,0,2,0,0,0,0,0,0,2
120,2W,ATOMEX E-MOTORS INDIA PVT LTD,0,0,0,0,0,2,17,3,1,0,23
121,3W,ATR TECHNOSALES PRIVATE LIMITED,0,0,4,9,5,0,0,0,0,0,18
122,3W,ATTOLENT AUTO GROUP PVT LTD,0,397,1023,660,492,176,132,456,760,408,4504
123,3W,ATTOLENT AUTOGROUP PVT LTD,35,1299,190,31,2,12,0,0,0,0,1569
124,3W,ATUL AUTO LTD,1,99,219,492,510,438,893,2864,5502,3938,14956
125,4W,ATUL AUTO LTD,0,0,14,11,0,0,0,2,5,0,32
126,3W,ATUL GREENTECH PRIVATE LIMITED,0,0,0,0,0,0,0,0,127,308,435
127,2W,ATUMOBILE PVT LTD,0,0,0,0,0,0,0,0,105,22,127
128,3W,ATUT SANGAM,0,1,85,336,139,204,431,943,2335,1593,6067
129,4W,AUDI AG,0,0,1,0,0,0,43,115,143,100,402
130,3W,AUTOCROLA INDIA LTD,0,0,0,1,0,0,0,0,0,0,1
131,3W,AUTOECO GREEN ENERGY PVT LTD,0,0,0,0,0,0,0,21,578,524,1123
132,3W,AUTOHAUS PRIVATE LIMITED,0,0,0,206,329,124,326,485,103,2,1575
133,3W,AUTOLITE (INDIA) LIMITED,0,0,49,216,571,328,139,64,11,1,1379
134,3W,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,54,717,517,957,1480,2632,1951,8308
135,4W,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0,1
136,3W,AVON CYCLE LTD INDIA,0,1,17,4,1,3,13,40,10,0,89
137,2W,AVON CYCLES LTD,0,0,8,37,1,0,0,0,0,0,46
138,3W,AVON CYCLES LTD,0,0,71,191,342,366,470,760,784,429,3413
139,4W,AVON CYCLES LTD,0,0,0,0,0,1,0,0,0,0,1
140,3W,AXCEED INDUSTRIES (OPC) PVT LTD,0,0,0,0,6,0,0,0,0,0,6
141,2W,AYAAN ELECTRONIC PVT LTD,0,0,0,0,0,2,0,132,112,25,271
142,3W,B24 ROKET EV,0,0,0,0,0,0,0,0,28,663,691
143,3W,BABA E RICKSHAW & C BATTERIES,0,2,31,6,0,0,0,0,0,0,39
144,3W,BABA E-VEHICLES,0,2,53,132,145,92,39,288,1363,515,2629
145,3W,BAFNA AUTO CARS I PVT.LTD.,0,0,1,0,0,0,0,0,0,0,1
146,3W,BAGHWAN RIKSHAW UDYOG,0,0,0,0,0,3,7,3,40,25,78
147,2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),0,0,0,0,0,0,0,0,4,3,7
148,2W,BAJAJ AUTO LTD,161,78,43,7,7,1243,4633,25318,71940,73698,177128
149,3W,BAJAJ AUTO LTD,37,58,86,113,21,19,0,0,4574,16461,21369
150,4W,BAJAJ AUTO LTD,0,0,0,0,0,0,0,0,0,1,1
151,3W,BAJAJ IMPLEMENTS PVT LTD,0,0,71,20,0,0,0,0,0,0,91
152,3W,BAJAJ IMPLEMENTS PVT. LTD,0,0,83,283,211,70,42,195,947,575,2406
153,3W,BAJAJ TEMPO LIMITED,0,0,0,0,0,0,1,0,0,0,1
154,3W,BAL GOPAL WHEELS PVT LTD,0,0,21,87,94,31,86,64,105,99,587
155,4W,BAL GOPAL WHEELS PVT LTD,0,0,0,0,1,0,0,0,0,0,1
156,3W,BALAJI TRADING COMPANY,0,0,0,0,0,0,0,0,7,21,28
157,4W,BALAMURUGAN ENGINEERING WORKS,1,0,0,0,0,0,0,0,0,0,1
158,3W,BALAN ENGINEERING PVT LTD,0,0,0,0,0,0,13,105,146,112,376
159,3W,BALI AUTO INDUSTRIES,0,2,155,295,315,178,237,333,274,159,1948
160,3W,"BASUDEB ENGINEERING, CUTTACK",0,0,0,0,1,0,0,0,0,0,1
161,3W,BATTERY RICKSHAW SANGH,669,1321,30,1,0,0,0,0,0,0,2021
162,2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,0,0,0,0,0,516,4139,1836,6491
163,3W,BAXY LTD,0,0,0,0,0,0,0,0,271,1481,1752
164,3W,BENGAL MOTORS,0,0,0,1,0,0,0,0,0,0,1
165,2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,0,0,0,0,0,567,4758,13130,3005,402,21862
166,3W,BENTINCK INDUSTRIES PVT. LTD.,0,0,13,160,122,77,91,254,382,137,1236
167,2W,BENTLEY MOTORS LIMITED,0,1,0,0,0,0,0,0,0,0,1
168,3W,BEST WAY AGENCIES PVT LTD,0,57,1501,2044,2312,2155,5022,6447,7902,3545,30985
169,3W,BESTWAY AGENCIES PVT LTD,1,147,271,11,8,50,179,141,33,0,841
170,3W,BESTWAY BANARASH,0,0,2,0,0,15,21,12,12,10,72
171,2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,0,1983,11454,10711,24148
172,3W,BHADAURIA ENTERPRISES,0,0,0,0,0,0,6,7,106,81,200
173,3W,BHARAT MANUFACTURING & ASSEMBLING E RIKSHA,0,0,0,0,0,0,0,0,2,0,2
174,3W,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,1,0,2,122,456,1591,2682,1398,6252
175,3W,BHM INDUSTRIES,0,0,0,0,0,23,456,1028,1814,1377,4698
176,3W,BIG BULL TRADER PVT LTD,0,0,30,426,565,460,227,307,673,1040,3728
177,4W,BIG BULL TRADER PVT LTD,0,0,0,0,0,0,0,0,0,1,1
178,3W,BIJNOR ENTERPRISES,0,0,18,24,10,4,4,52,72,24,208
179,4W,BILAL TRAILORS,2,8,1,4,0,0,0,0,0,0,15
180,2W,BLIX CYCLES AND E-VEHICLES PVT LTD,0,0,0,0,0,0,8,45,65,4,122
181,4W,BMW INDIA PVT LTD,1,0,0,5,0,0,0,163,1309,591,2069
182,2W,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,0,0,0,0,0,0,0,484,207,326,1017
183,2W,BOUNCE ELECTRIC 1 PVT LTD,0,0,0,0,0,0,0,4514,3565,1598,9677
184,3W,BRIGHT AUTOZONE PVT LTD,0,43,608,713,708,413,1708,3702,3695,1853,13443
185,3W,BRIGHT METAL WORKS,0,0,0,0,0,9,4,7,31,1,52
186,2W,BSA MOTORS,1,0,0,0,0,0,0,0,0,0,1
187,3W,BSERAIL ENGINEERING PVT LTD,0,0,0,0,0,0,0,0,0,41,41
188,3W,BULL MACHINES PVT LTD,0,0,21,3,0,0,0,0,0,0,24
189,4W,BYD AUTO,0,0,0,0,0,0,0,0,0,2,2
190,4W,BYD INDIA PRIVATE LIMITED,0,0,0,0,0,0,2,453,2012,1401,3868
191,3W,C M OVERSEAS,0,0,0,10,16,17,21,34,50,16,164
192,3W,CAPARO AUTOTECH LIMITED,0,24,321,44,4,0,0,0,0,0,393
193,4W,CAPARO AUTOTECH LIMITED,0,0,1,0,0,0,0,0,0,0,1
194,3W,CAPARO AUTOTECH LTD,0,9,62,0,0,0,0,0,0,0,71
195,3W,CAPCO INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,30,30
196,4W,CAPCO INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,1,1
197,3W,CARREE YUNUS VEHICLE PVT LTD,0,0,0,0,0,0,0,0,3,22,25
198,3W,CART INDIA,0,0,0,17,123,99,26,7,109,357,738
199,3W,CASE EQUIPMENT PRIVATE LTD,0,1,1,0,0,0,0,0,0,0,2
200,3W,CATERPILLAR INDIA PRIVATE LIMITED,0,0,5,0,0,0,0,0,0,0,5
201,3W,CEEON INDIA,0,311,536,928,687,263,213,394,874,394,4600
202,3W,CELLETRON MOTOR WORKS,0,0,0,0,0,6,9,11,0,93,119
203,3W,CENTURY MOTORS PVT LTD,0,2,2,0,0,0,0,0,0,0,4
204,3W,CHAMPION POLY PLAST,0,492,1744,3005,4215,2741,6672,13091,14877,6654,53491
205,4W,CHAMPION POLY PLAST,0,0,0,0,0,0,2,0,0,0,2
206,3W,CHANDAKE-AUTOMOBILES LLP,0,0,0,0,0,0,0,0,0,37,37
207,2W,CHANDANA CORPORATION,0,0,0,0,0,0,133,426,501,106,1166
208,3W,CHANGZHOU YEFEND VEHICLE CO,0,3,8,0,0,0,0,0,0,0,11
209,3W,CHARUVIKRAM AUTOMOBILE PVT LTD,0,0,0,0,84,56,22,6,6,0,174
210,3W,CHATELEC VEHICLES INDIA LTD,0,0,1,0,0,0,0,0,0,0,1
211,4W,CHATELEC VEHICLES INDIA LTD,0,0,1,1,0,0,0,0,0,0,2
212,3W,CHAUHAN AUTO INDUSTRIES,0,0,0,17,121,86,118,406,571,380,1699
213,3W,CHEHAK BATTERIES,0,46,160,195,80,48,62,223,290,190,1294
214,2W,CHETAK TECHNOLOGY LIMITED,0,0,0,0,0,0,0,0,4851,4,4855
215,3W,CHEVROLET SALES INDIA PVT LTD,0,6,0,0,0,0,0,0,0,0,6
216,2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,0,0,135,154,289
217,2W,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),0,0,0,0,0,0,0,0,0,10,10
218,3W,CHIRAG ENTERPRISES,0,0,0,19,4,0,0,0,0,0,23
219,2W,CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,0,0,0,0,0,0,0,0,0,1,1
220,2W,CHONGQING YU AN GROUP,0,3,0,0,0,0,0,0,0,0,3
221,3W,CITADEL ENTERPRISES(OPC) PVT LTD,0,0,0,0,24,26,28,36,28,8,150
222,3W,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,132,395,429,292,586,827,930,301,3892
223,3W,CLAAS INDIA P LTD,0,0,0,1,0,0,0,0,0,0,1
224,3W,CLENERGY INNOVATIONS PVT LTD,0,0,0,0,0,0,0,0,0,1,1
225,3W,CLH GASEOUS FUEL APPL PVT LTD,4,157,158,37,11,5,0,0,0,0,372
226,4W,CLH GASEOUS FUEL APPL PVT LTD,0,0,0,1,0,0,0,0,0,0,1
227,4W,CNH INDUSTRIAL (INDIA) PVT LTD,0,1,1,0,0,0,0,0,0,0,2
228,3W,CONTINENTAL ENGINES PVT LTD,0,0,57,1,1,11,92,571,2749,425,3907
229,4W,CONTINENTAL ENGINES PVT LTD,0,0,0,0,0,0,0,2,0,0,2
230,3W,CREATIVE ENGINEERINGS,0,0,60,7,21,0,0,0,0,0,88
231,3W,CYRUS AUTO INDUSTRIES PVT LTD,0,0,0,0,2,14,7,24,96,37,180
232,3W,D S INDUSTRIES,0,0,0,0,11,29,31,46,32,2,151
233,3W,D S R AUTOMOTIVES (INDIA) PVT LTD,0,0,3,0,0,0,0,0,0,0,3
234,3W,D.K. MOTORS,0,0,0,0,0,0,0,0,0,5,5
235,3W,DAEWOO MOTORS INDIA LTD,0,0,2,0,0,0,0,0,0,0,2
236,4W,DAIMLER AG,0,0,0,0,0,2,0,0,0,0,2
237,3W,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,1,1,0,0,0,0,0,0,0,2
238,3W,DAKSH INDUSTRIES,0,0,0,0,0,30,1125,3225,5925,2871,13176
239,3W,DALIAN FORKLIFT CO.,0,0,0,1,0,0,0,0,0,0,1
240,2W,DAO EVTECH PRIVATE LIMITED,0,0,0,0,0,0,0,102,283,72,457
241,3W,DASHMESH MECH WORKS PVT LTD,0,1,3,0,0,0,0,0,0,0,4
242,3W,DASHMESH TRADERS,0,0,0,75,149,40,55,83,122,73,597
243,3W,DAVE EXIM PVT LTD,0,0,567,854,1031,387,285,243,311,120,3798
244,3W,DD AUTO PVT LTD,0,136,274,397,222,62,8,13,2,0,1114
245,3W,DE EUSI MOTORS PVT LTD.,0,0,0,0,119,114,345,720,1563,1048,3909
246,3W,DEEP DRAWN TECHNOLOGIES,0,0,4,46,12,3,3,4,12,14,98
247,3W,DEEPTI SMART MOBILITY PVT LTD,0,0,0,0,1,0,0,0,0,0,1
248,3W,DELHI AUTOMOBILES LTD,0,0,1,0,0,0,0,0,0,0,1
249,3W,DELTA AUTOCORP LLP,0,0,12,330,896,1100,755,1334,2466,1246,8139
250,3W,DELTEK ENTERPRISES PVT LTD,0,0,0,192,106,5,0,0,8,21,332
251,3W,DESMOTO ELECTRICS PVT LTD,0,0,0,0,0,16,30,1,0,0,47
252,3W,DEV MOTORS,0,0,0,0,0,0,0,0,0,287,287
253,3W,DEVAM ELECTRIC VEH P L,1,7,3,0,0,0,0,0,0,0,11
254,3W,DEVAM ELECTRIC VEHICLES PVT LTD,0,0,0,4,0,0,0,0,12,83,99
255,3W,DHAR IN PVT LTD,0,0,0,0,0,0,0,0,29,26,55
256,3W,DHAR INTERNATIONAL,0,0,0,0,163,140,141,104,34,14,596
257,4W,DHARMAND TRAILERS,1,0,0,0,0,0,0,0,0,0,1
258,3W,DHRITI ENTERPRISES,0,0,0,0,0,0,0,0,0,81,81
259,3W,DIAMOND E VEHICLES,0,0,0,10,2,0,26,303,604,234,1179
260,4W,"DIAMOND ENGG,CTC",0,0,0,1,0,0,0,0,0,0,1
261,3W,DILIGENT MOBILITY SERVICE PVT LTD,0,0,0,0,0,0,0,0,0,1,1
262,3W,DILIP CHHABRIA DESIGN PVT LTD,0,1,0,0,0,1,0,0,0,0,2
263,2W,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,2,0,0,2
264,3W,DILLI ELECTRIC AUTO PVT LTD,16,1573,2205,3404,3954,2541,5361,13987,25071,11832,69944
265,4W,DILLI ELECTRIC AUTO PVT LTD,0,2,1,7,2,0,1,2,5,0,20
266,3W,DIVANSHU AUTOMOBILES LIMITED,0,14,129,18,10,3,2,0,0,0,176
267,3W,DIVANSU AUTOMOBILES LTD,0,3,50,213,96,27,33,142,145,43,752
268,3W,DIVYA AUTOMOBILES,0,0,0,0,45,3,0,0,0,0,48
269,3W,DIVYA ENTERPRISES,0,0,3,126,355,169,416,744,1026,403,3242
270,MMV,DIVYA INDUSTRIES,1,0,0,0,0,0,0,0,0,0,1
271,3W,DIWA GREEN TECHNOLOGY PVT LTD,0,0,0,10,6,1,2,0,0,0,19
272,2W,DONGMA VEHICLE (IMPORTER: MERCURY METALS),0,0,0,0,0,0,0,0,11,1,12
273,3W,DONGMA VEHICLE (IMPORTER: MERCURY METALS),0,0,0,0,0,0,0,0,0,23,23
274,3W,DSF INDUSTRIES PVT LTD,0,0,5,22,72,132,17,14,26,1,289
275,2W,DSK MOTOWHEELS PVT LTD.,1,2,0,0,0,0,0,0,0,0,3
276,3W,DSR EV MOBILITY PVT LTD,0,0,0,0,0,0,0,0,3,27,30
277,3W,DUCATI INDIA PVT LTD,0,0,0,1,0,0,0,0,0,0,1
278,3W,DUCATI MOTOR HOLDING S.P.A,0,0,4,1,0,0,0,0,0,0,5
279,3W,DUKE AUTO INDIA,0,0,0,55,271,259,428,610,934,444,3001
280,3W,DUKEMOTO MOTORS PVT LTD,0,0,0,0,11,9,0,0,0,0,20
281,3W,DURABLE FLANGES PVT LTD,0,0,0,1,7,17,0,0,0,0,25
282,2W,DURGA FILTERS PVT LTD,0,0,0,0,0,0,0,0,2,0,2
283,3W,DYNAVOLT TECHNOLOGY INDIA LTD,0,0,0,142,48,2,11,11,0,1,215
